Source, Destination, Distance
Table,Piano, 8.333334
Table,Bookshelf, 5.333333
Table,Harp, 6.333333
Table,Well, 9.333334
Table,Chair, 11.33333
Table,Telescope, 7.333333
Table,Mailbox, 10.66667
Table,Oven, 5.333333
Table,Plant, 4.333333
Table,Trash, 8.333334
Table,Wheelbarrow, 1.333333
Piano,Bookshelf, 8.333334
Piano,Harp, 11.33333
Piano,Well, 12.33333
Piano,Chair, 16.33333
Piano,Telescope, 14.33333
Piano,Mailbox, 17.33333
Piano,Oven, 8.333334
Piano,Plant, 11.33333
Piano,Trash, 5.333333
Piano,Wheelbarrow, 8.333334
Bookshelf,Harp, 8.333334
Bookshelf,Well, 9.333334
Bookshelf,Chair, 13.33333
Bookshelf,Telescope, 11.33333
Bookshelf,Mailbox, 14.33333
Bookshelf,Oven, 11.33333
Bookshelf,Plant, 8.333334
Bookshelf,Trash, 4.333333
Bookshelf,Wheelbarrow, 5.333333
Harp,Well, 4.333333
Harp,Chair, 8.333334
Harp,Telescope, 8.666667
Harp,Mailbox, 11.33333
Harp,Oven, 12.33333
Harp,Plant, 9.333334
Harp,Trash, 7.333333
Harp,Wheelbarrow, 4.333333
Well,Chair, 5.333333
Well,Telescope, 11.66667
Well,Mailbox, 10.33333
Well,Oven, 15.33333
Well,Plant, 12.33333
Well,Trash, 8.333334
Well,Wheelbarrow, 7.333333
Chair,Telescope, 9.666667
Chair,Mailbox, 6.333333
Chair,Oven, 17.33333
Chair,Plant, 13.66667
Chair,Trash, 12.33333
Chair,Wheelbarrow, 9.333334
Telescope,Mailbox, 4.666667
Telescope,Oven, 11.33333
Telescope,Plant, 4.333333
Telescope,Trash, 14.33333
Telescope,Wheelbarrow, 7.333333
Mailbox,Oven, 14.66667
Mailbox,Plant, 7.666667
Mailbox,Trash, 17.33333
Mailbox,Wheelbarrow, 10.33333
Oven,Plant, 8.333334
Oven,Trash, 12.33333
Oven,Wheelbarrow, 7.333333
Plant,Trash, 11.33333
Plant,Wheelbarrow, 4.333333
Trash,Wheelbarrow, 8.333334
